,daynumber,date,1-month,3-month,6-month,1-year,2-year,3-year,5-year,7-year,10-year,20-year,30-year
10325,14455,2001-07-31,3.67,3.54,3.47,3.53,3.79,4.06,4.57,4.86,5.07,5.61,5.51
10326,14456,2001-08-01,3.65,3.53,3.47,3.56,3.83,4.09,4.62,4.9,5.11,5.63,5.53
10327,14457,2001-08-02,3.65,3.53,3.46,3.57,3.89,4.17,4.69,4.97,5.17,5.68,5.57
10328,14458,2001-08-03,3.63,3.52,3.47,3.57,3.91,4.22,4.72,4.99,5.2,5.7,5.59
10329,14461,2001-08-06,3.62,3.52,3.47,3.56,3.88,4.17,4.71,4.99,5.19,5.7,5.59
10330,14462,2001-08-07,3.63,3.52,3.47,3.56,3.9,4.19,4.72,5.0,5.2,5.71,5.6
10331,14463,2001-08-08,3.61,3.49,3.41,3.46,3.77,4.05,4.61,4.87,4.99,5.61,5.52
10332,14464,2001-08-09,3.61,3.45,3.4,3.48,3.77,4.07,4.66,4.93,5.04,5.64,5.54
10333,14465,2001-08-10,3.58,3.43,3.37,3.45,3.73,4.03,4.61,4.88,4.99,5.61,5.52
10334,14468,2001-08-13,3.57,3.45,3.37,3.43,3.7,4.0,4.57,4.86,4.97,5.6,5.52
10335,14469,2001-08-14,3.54,3.43,3.38,3.46,3.74,4.03,4.59,4.87,4.97,5.61,5.51
10336,14470,2001-08-15,3.52,3.43,3.41,3.47,3.8,4.11,4.62,4.9,5.0,5.62,5.52
10337,14471,2001-08-16,3.48,3.39,3.36,3.43,3.75,4.04,4.58,4.84,4.95,5.58,5.48
10338,14472,2001-08-17,3.46,3.36,3.33,3.39,3.67,3.95,4.49,4.75,4.84,5.51,5.43
10339,14475,2001-08-20,3.48,3.42,3.4,3.44,3.74,4.02,4.55,4.81,4.91,5.55,5.46
10340,14476,2001-08-21,3.46,3.39,3.35,3.41,3.69,3.96,4.5,4.79,4.87,5.54,5.44
10341,14477,2001-08-22,3.46,3.38,3.37,3.44,3.76,4.03,4.53,4.81,4.91,5.53,5.44
10342,14478,2001-08-23,3.49,3.4,3.36,3.46,3.72,3.99,4.52,4.79,4.89,5.5,5.41
10343,14479,2001-08-24,3.49,3.42,3.37,3.48,3.76,4.03,4.55,4.82,4.93,5.54,5.45
10344,14482,2001-08-27,3.52,3.45,3.4,3.51,3.78,4.04,4.57,4.83,4.94,5.56,5.47
10345,14483,2001-08-28,3.53,3.41,3.35,3.46,3.71,3.97,4.48,4.73,4.85,5.49,5.41
10346,14484,2001-08-29,3.48,3.42,3.33,3.44,3.67,3.92,4.43,4.67,4.78,5.44,5.36
10347,14485,2001-08-30,3.41,3.36,3.28,3.38,3.61,3.88,4.42,4.68,4.79,5.45,5.37
10348,14486,2001-08-31,3.4,3.37,3.31,3.41,3.64,3.91,4.46,4.72,4.85,5.47,5.39
10350,14490,2001-09-04,3.43,3.44,3.43,3.55,3.83,4.1,4.63,4.88,4.99,5.59,5.5
10351,14491,2001-09-05,3.49,3.41,3.39,3.47,3.79,4.07,4.61,4.86,4.97,5.57,5.48
10352,14492,2001-09-06,3.44,3.34,3.33,3.4,3.65,3.93,4.48,4.73,4.86,5.5,5.41
10353,14493,2001-09-07,3.4,3.27,3.2,3.29,3.53,3.82,4.39,4.67,4.8,5.45,5.39
10354,14496,2001-09-10,3.4,3.26,3.23,3.31,3.53,3.82,4.41,4.69,4.84,5.5,5.43
10357,14499,2001-09-13,2.73,2.74,2.75,2.81,2.99,3.32,4.03,4.41,4.64,5.41,5.39
10358,14500,2001-09-14,2.54,2.64,2.67,2.73,2.87,3.17,3.92,4.31,4.57,5.38,5.35
10359,14503,2001-09-17,2.47,2.59,2.62,2.72,2.96,3.3,3.99,4.38,4.63,5.44,5.41
10360,14504,2001-09-18,2.34,2.48,2.56,2.69,2.96,3.31,4.01,4.46,4.72,5.59,5.55
10361,14505,2001-09-19,2.0,2.19,2.33,2.49,2.81,3.18,3.9,4.41,4.69,5.59,5.56
10362,14506,2001-09-20,2.04,2.22,2.38,2.56,2.91,3.27,3.97,4.47,4.75,5.67,5.62
10363,14507,2001-09-21,2.12,2.25,2.34,2.53,2.91,3.27,3.94,4.43,4.7,5.62,5.59
10364,14510,2001-09-24,2.38,2.38,2.39,2.56,2.94,3.3,4.0,4.47,4.73,5.61,5.58
10365,14511,2001-09-25,2.58,2.4,2.37,2.51,2.88,3.25,3.97,4.45,4.72,5.6,5.58
10366,14512,2001-09-26,2.51,2.38,2.34,2.48,2.82,3.18,3.91,4.39,4.65,5.52,5.5
10367,14513,2001-09-27,2.34,2.38,2.31,2.43,2.78,3.15,3.87,4.33,4.58,5.46,5.45
10368,14514,2001-09-28,2.28,2.4,2.36,2.49,2.86,3.22,3.93,4.37,4.6,5.45,5.42
10369,14517,2001-10-01,2.26,2.37,2.37,2.47,2.82,3.18,3.9,4.33,4.55,5.39,5.38
10370,14518,2001-10-02,2.27,2.26,2.27,2.43,2.77,3.14,3.87,4.31,4.53,5.36,5.34
10371,14519,2001-10-03,2.21,2.23,2.24,2.38,2.77,3.14,3.86,4.29,4.5,5.34,5.32
10372,14520,2001-10-04,2.22,2.21,2.21,2.37,2.75,3.14,3.88,4.29,4.53,5.33,5.31
10373,14521,2001-10-05,2.21,2.19,2.18,2.33,2.71,3.1,3.87,4.26,4.52,5.34,5.31
10375,14525,2001-10-09,2.24,2.22,2.2,2.35,2.74,3.16,3.96,4.35,4.62,5.42,5.39
10376,14526,2001-10-10,2.3,2.22,2.2,2.35,2.78,3.19,3.96,4.35,4.61,5.38,5.36
10377,14527,2001-10-11,2.3,2.27,2.26,2.44,2.88,3.3,4.03,4.43,4.69,5.45,5.41
10378,14528,2001-10-12,2.31,2.25,2.24,2.4,2.81,3.23,4.01,4.41,4.68,5.45,5.42
10379,14531,2001-10-15,2.33,2.25,2.22,2.39,2.78,3.18,3.97,4.36,4.62,5.4,5.38
10380,14532,2001-10-16,2.32,2.22,2.2,2.37,2.77,3.16,3.93,4.32,4.59,5.38,5.35
10381,14533,2001-10-17,2.34,2.22,2.2,2.37,2.8,3.21,3.93,4.32,4.59,5.35,5.32
10382,14534,2001-10-18,2.28,2.19,2.19,2.36,2.77,3.18,3.93,4.32,4.58,5.34,5.32
10383,14535,2001-10-19,2.29,2.19,2.17,2.34,2.77,3.19,3.96,4.37,4.63,5.39,5.36
10384,14538,2001-10-22,2.29,2.22,2.18,2.35,2.79,3.22,3.98,4.37,4.63,5.38,5.36
10385,14539,2001-10-23,2.32,2.2,2.16,2.37,2.81,3.24,4.01,4.4,4.66,5.4,5.38
10386,14540,2001-10-24,2.3,2.17,2.13,2.32,2.72,3.15,3.96,4.34,4.61,5.32,5.32
10387,14541,2001-10-25,2.27,2.14,2.09,2.26,2.63,3.06,3.89,4.29,4.56,5.28,5.28
10388,14542,2001-10-26,2.26,2.14,2.09,2.26,2.63,3.06,3.88,4.26,4.53,5.27,5.27
10389,14545,2001-10-29,2.24,2.09,2.04,2.18,2.55,2.99,3.82,4.22,4.5,5.24,5.25
10390,14546,2001-10-30,2.17,2.05,1.97,2.11,2.48,2.92,3.76,4.14,4.44,5.21,5.22
10391,14547,2001-10-31,2.15,2.05,1.95,2.07,2.44,2.87,3.66,4.03,4.3,5.05,4.89
10392,14548,2001-11-01,2.18,2.06,1.99,2.1,2.49,2.91,3.66,4.01,4.24,5.0,4.79
10393,14549,2001-11-02,2.09,2.01,1.94,2.07,2.48,2.93,3.77,4.12,4.37,5.14,4.96
10394,14552,2001-11-05,2.06,2.01,1.96,2.05,2.46,2.91,3.71,4.07,4.31,5.06,4.86
10395,14553,2001-11-06,1.98,1.85,1.83,1.97,2.37,2.76,3.54,4.03,4.3,5.05,4.86
10396,14554,2001-11-07,1.93,1.8,1.75,1.93,2.32,2.7,3.47,3.95,4.22,4.95,4.79
10397,14555,2001-11-08,1.93,1.84,1.8,2.0,2.42,2.81,3.58,4.05,4.32,5.03,4.87
10398,14556,2001-11-09,1.92,1.83,1.82,2.02,2.45,2.86,3.62,4.09,4.34,5.05,4.88
10400,14560,2001-11-13,1.94,1.84,1.86,2.07,2.54,2.96,3.69,4.17,4.41,5.1,4.92
10401,14561,2001-11-14,1.99,1.87,1.9,2.13,2.7,3.11,3.83,4.31,4.54,5.2,5.02
10402,14562,2001-11-15,1.99,1.92,2.01,2.34,2.98,3.41,4.1,4.58,4.79,5.41,5.22
10403,14563,2001-11-16,2.02,1.95,2.06,2.41,3.09,3.55,4.24,4.72,4.91,5.52,5.3
10404,14566,2001-11-19,2.02,1.94,2.0,2.31,2.92,3.38,4.12,4.58,4.8,5.42,5.22
10405,14567,2001-11-20,2.02,1.95,1.99,2.31,2.96,3.41,4.17,4.66,4.88,5.5,5.3
10406,14568,2001-11-21,2.0,1.96,2.02,2.38,3.11,3.58,4.31,4.78,4.98,5.59,5.35
10408,14570,2001-11-23,2.0,1.95,2.02,2.41,3.2,3.68,4.4,4.83,5.04,5.65,5.39
10409,14573,2001-11-26,2.0,1.98,2.04,2.43,3.22,3.7,4.41,4.85,5.05,5.66,5.39
10410,14574,2001-11-27,2.01,1.92,1.98,2.36,3.11,3.58,4.32,4.77,4.98,5.64,5.37
10411,14575,2001-11-28,1.96,1.87,1.92,2.26,3.12,3.6,4.33,4.76,4.98,5.63,5.36
10412,14576,2001-11-29,1.9,1.8,1.8,2.03,2.87,3.33,4.1,4.56,4.79,5.52,5.24
10413,14577,2001-11-30,1.87,1.78,1.79,2.06,2.84,3.3,4.08,4.55,4.78,5.54,5.27
10414,14580,2001-12-03,1.85,1.78,1.81,2.08,2.82,3.28,4.04,4.51,4.75,5.49,5.26
10415,14581,2001-12-04,1.81,1.74,1.8,2.07,2.81,3.3,3.99,4.46,4.7,5.43,5.22
10416,14582,2001-12-05,1.77,1.77,1.88,2.27,3.07,3.55,4.24,4.7,4.92,5.61,5.35
10417,14583,2001-12-06,1.73,1.75,1.91,2.35,3.19,3.7,4.38,4.83,5.04,5.72,5.47
10418,14584,2001-12-07,1.69,1.69,1.81,2.26,3.19,3.72,4.5,4.98,5.2,5.9,5.6
10419,14587,2001-12-10,1.68,1.71,1.79,2.17,3.1,3.63,4.46,4.95,5.17,5.86,5.58
10420,14588,2001-12-11,1.66,1.66,1.73,2.12,3.03,3.56,4.38,4.89,5.13,5.83,5.55
10421,14589,2001-12-12,1.69,1.67,1.74,2.13,2.97,3.48,4.29,4.78,5.02,5.74,5.47
10422,14590,2001-12-13,1.69,1.69,1.78,2.2,3.09,3.62,4.4,4.9,5.13,5.81,5.53
10423,14591,2001-12-14,1.7,1.73,1.81,2.22,3.2,3.73,4.52,5.01,5.24,5.89,5.59
10424,14594,2001-12-17,1.72,1.74,1.84,2.24,3.21,3.74,4.54,5.03,5.26,5.91,5.61
10425,14595,2001-12-18,1.72,1.71,1.81,2.24,3.13,3.66,4.46,4.93,5.16,5.81,5.52
10426,14596,2001-12-19,1.69,1.69,1.8,2.23,3.11,3.63,4.38,4.84,5.08,5.73,5.45
10427,14597,2001-12-20,1.67,1.69,1.79,2.22,3.15,3.67,4.42,4.86,5.08,5.73,5.43
10428,14598,2001-12-21,1.67,1.71,1.81,2.23,3.17,3.69,4.45,4.89,5.12,5.76,5.45
10429,14601,2001-12-24,1.66,1.72,1.83,2.24,3.22,3.74,4.49,4.95,5.18,5.81,5.49
10431,14603,2001-12-26,1.77,1.75,1.87,2.34,3.26,3.8,4.55,5.0,5.22,5.84,5.52
10432,14604,2001-12-27,1.75,1.74,1.84,2.27,3.19,3.71,4.46,4.9,5.13,5.78,5.49
10433,14605,2001-12-28,1.73,1.72,1.83,2.26,3.16,3.69,4.46,4.93,5.15,5.82,5.54
10434,14608,2001-12-31,1.68,1.74,1.83,2.17,3.07,3.59,4.38,4.84,5.07,5.74,5.48
10436,14610,2002-01-02,1.73,1.74,1.85,2.28,3.22,3.75,4.52,4.97,5.2,5.86,5.56
10437,14611,2002-01-03,1.73,1.73,1.82,2.24,3.19,3.71,4.48,4.93,5.16,5.83,5.54
10438,14612,2002-01-04,1.72,1.72,1.82,2.25,3.19,3.72,4.5,4.97,5.18,5.87,5.57
10439,14615,2002-01-07,1.7,1.68,1.77,2.19,3.08,3.61,4.39,4.86,5.09,5.76,5.49
10440,14616,2002-01-08,1.7,1.68,1.77,2.19,3.07,3.6,4.39,4.86,5.1,5.77,5.51
10441,14617,2002-01-09,1.68,1.68,1.77,2.17,3.03,3.57,4.38,4.86,5.1,5.76,5.51
10442,14618,2002-01-10,1.66,1.68,1.75,2.1,2.94,3.46,4.27,4.74,5.0,5.64,5.42
10443,14619,2002-01-11,1.62,1.58,1.62,1.98,2.76,3.28,4.14,4.65,4.92,5.6,5.37
10444,14622,2002-01-14,1.62,1.58,1.63,2.0,2.79,3.32,4.15,4.64,4.91,5.62,5.38
10445,14623,2002-01-15,1.64,1.6,1.63,1.99,2.79,3.32,4.14,4.62,4.88,5.56,5.34
10446,14624,2002-01-16,1.62,1.61,1.65,2.01,2.84,3.36,4.16,4.62,4.88,5.58,5.36
10447,14625,2002-01-17,1.6,1.64,1.73,2.09,2.96,3.49,4.28,4.73,4.98,5.65,5.41
10448,14626,2002-01-18,1.59,1.62,1.71,2.08,2.91,3.43,4.23,4.69,4.94,5.59,5.36
10450,14630,2002-01-22,1.67,1.7,1.77,2.11,2.97,3.48,4.27,4.72,4.96,5.62,5.39
10451,14631,2002-01-23,1.7,1.71,1.78,2.15,3.07,3.58,4.36,4.81,5.05,5.73,5.48
10452,14632,2002-01-24,1.69,1.72,1.82,2.22,3.15,3.67,4.4,4.82,5.07,5.71,5.47
10453,14633,2002-01-25,1.69,1.72,1.83,2.25,3.17,3.71,4.46,4.86,5.1,5.72,5.47
10454,14636,2002-01-28,1.71,1.76,1.88,2.28,3.19,3.73,4.48,4.88,5.12,5.72,5.47
10455,14637,2002-01-29,1.72,1.72,1.84,2.23,3.05,3.59,4.35,4.76,5.02,5.63,5.4
10456,14638,2002-01-30,1.7,1.75,1.86,2.23,3.06,3.61,4.37,4.77,5.02,5.64,5.41
10457,14639,2002-01-31,1.69,1.76,1.89,2.29,3.16,3.7,4.42,4.82,5.07,5.68,5.44
10458,14640,2002-02-01,1.69,1.76,1.87,2.22,3.08,3.62,4.37,4.78,5.02,5.63,5.4
10459,14643,2002-02-04,1.7,1.77,1.87,2.19,2.99,3.52,4.29,4.69,4.94,5.57,5.35
10460,14644,2002-02-05,1.74,1.76,1.86,2.22,2.99,3.53,4.29,4.66,4.92,5.56,5.35
10461,14645,2002-02-06,1.73,1.74,1.84,2.2,2.98,3.51,4.3,4.71,4.92,5.61,5.38
10462,14646,2002-02-07,1.71,1.73,1.83,2.2,2.99,3.54,4.33,4.73,4.93,5.64,5.42
10463,14647,2002-02-08,1.69,1.73,1.82,2.16,2.95,3.48,4.28,4.69,4.9,5.6,5.39
10464,14650,2002-02-11,1.73,1.75,1.86,2.21,2.95,3.49,4.29,4.7,4.91,5.63,5.41
10465,14651,2002-02-12,1.76,1.75,1.87,2.26,3.04,3.58,4.36,4.76,4.97,5.69,5.45
10466,14652,2002-02-13,1.75,1.76,1.87,2.27,3.09,3.63,4.4,4.8,5.01,5.72,5.47
10467,14653,2002-02-14,1.75,1.75,1.86,2.26,3.07,3.59,4.35,4.76,4.95,5.64,5.42
10468,14654,2002-02-15,1.72,1.74,1.84,2.2,2.97,3.5,4.27,4.66,4.86,5.58,5.37
11507,16109,2006-02-09,4.32,4.52,4.67,4.66,4.66,4.62,4.55,4.55,4.54,4.72,4.51
11508,16110,2006-02-10,4.36,4.53,4.7,4.7,4.69,4.67,4.59,4.59,4.59,4.76,4.55
11509,16113,2006-02-13,4.38,4.55,4.71,4.7,4.68,4.66,4.58,4.58,4.58,4.76,4.56
11510,16114,2006-02-14,4.42,4.55,4.72,4.71,4.69,4.68,4.61,4.61,4.62,4.8,4.6
11511,16115,2006-02-15,4.39,4.55,4.7,4.7,4.71,4.68,4.6,4.6,4.61,4.78,4.58
11512,16116,2006-02-16,4.38,4.55,4.69,4.69,4.69,4.67,4.59,4.59,4.59,4.77,4.57
11513,16117,2006-02-17,4.39,4.54,4.69,4.68,4.66,4.64,4.55,4.54,4.54,4.71,4.51
11515,16121,2006-02-21,4.42,4.56,4.73,4.73,4.71,4.68,4.59,4.58,4.57,4.72,4.53
11516,16122,2006-02-22,4.44,4.57,4.7,4.69,4.68,4.66,4.57,4.55,4.53,4.68,4.48
11517,16123,2006-02-23,4.44,4.59,4.73,4.73,4.72,4.7,4.63,4.58,4.56,4.7,4.51
11518,16124,2006-02-24,4.45,4.6,4.73,4.73,4.74,4.7,4.64,4.6,4.58,4.71,4.52
11519,16127,2006-02-27,4.48,4.62,4.76,4.76,4.74,4.71,4.66,4.61,4.59,4.74,4.55
11520,16128,2006-02-28,4.47,4.62,4.74,4.73,4.69,4.67,4.61,4.57,4.55,4.7,4.51
11521,16129,2006-03-01,4.45,4.6,4.75,4.74,4.71,4.68,4.63,4.6,4.59,4.74,4.56
11522,16130,2006-03-02,4.45,4.62,4.75,4.74,4.72,4.72,4.68,4.66,4.64,4.8,4.62
11523,16131,2006-03-03,4.45,4.62,4.75,4.75,4.76,4.75,4.71,4.69,4.68,4.84,4.66
11524,16134,2006-03-06,4.44,4.6,4.77,4.77,4.77,4.77,4.76,4.74,4.74,4.91,4.72
11525,16135,2006-03-07,4.47,4.6,4.77,4.77,4.77,4.79,4.76,4.75,4.74,4.91,4.72
11526,16136,2006-03-08,4.45,4.58,4.77,4.76,4.72,4.77,4.75,4.74,4.73,4.91,4.72
11527,16137,2006-03-09,4.44,4.6,4.77,4.76,4.72,4.77,4.75,4.74,4.74,4.91,4.72
11528,16138,2006-03-10,4.46,4.62,4.78,4.77,4.74,4.8,4.77,4.76,4.76,4.93,4.74
11529,16141,2006-03-13,4.45,4.61,4.83,4.8,4.74,4.81,4.78,4.78,4.77,4.95,4.77
11530,16142,2006-03-14,4.49,4.59,4.8,4.75,4.66,4.72,4.68,4.69,4.71,4.89,4.71
11531,16143,2006-03-15,4.5,4.63,4.81,4.77,4.69,4.72,4.69,4.7,4.73,4.93,4.75
11532,16144,2006-03-16,4.49,4.62,4.77,4.72,4.62,4.62,4.6,4.61,4.65,4.86,4.7
11533,16145,2006-03-17,4.5,4.64,4.78,4.74,4.65,4.64,4.62,4.63,4.68,4.89,4.72
11534,16148,2006-03-20,4.56,4.66,4.79,4.74,4.65,4.62,4.61,4.62,4.66,4.87,4.7
11535,16149,2006-03-21,4.67,4.69,4.82,4.79,4.72,4.71,4.68,4.69,4.71,4.91,4.74
11536,16150,2006-03-22,4.67,4.69,4.81,4.78,4.74,4.72,4.69,4.7,4.7,4.91,4.73
11537,16151,2006-03-23,4.66,4.67,4.81,4.8,4.77,4.74,4.73,4.73,4.73,4.93,4.75
11538,16152,2006-03-24,4.66,4.65,4.78,4.76,4.72,4.67,4.66,4.66,4.67,4.87,4.7
11539,16155,2006-03-27,4.66,4.63,4.8,4.77,4.72,4.69,4.69,4.69,4.7,4.91,4.73
11540,16156,2006-03-28,4.71,4.65,4.83,4.82,4.81,4.79,4.79,4.79,4.79,4.98,4.8
11541,16157,2006-03-29,4.69,4.63,4.83,4.83,4.82,4.81,4.79,4.79,4.81,5.02,4.84
11542,16158,2006-03-30,4.67,4.61,4.84,4.84,4.84,4.84,4.83,4.83,4.86,5.07,4.89
11543,16159,2006-03-31,4.65,4.63,4.81,4.82,4.82,4.83,4.82,4.83,4.86,5.07,4.9
11544,16162,2006-04-03,4.66,4.67,4.86,4.86,4.86,4.85,4.85,4.86,4.88,5.08,4.9
11545,16163,2006-04-04,4.64,4.68,4.85,4.85,4.84,4.83,4.82,4.84,4.87,5.09,4.91
11546,16164,2006-04-05,4.62,4.67,4.83,4.82,4.81,4.79,4.79,4.8,4.84,5.07,4.9
11547,16165,2006-04-06,4.65,4.68,4.85,4.85,4.84,4.83,4.84,4.86,4.9,5.13,4.96
11548,16166,2006-04-07,4.64,4.69,4.85,4.86,4.89,4.89,4.89,4.92,4.97,5.2,5.04
11549,16169,2006-04-10,4.64,4.69,4.89,4.89,4.89,4.89,4.89,4.92,4.97,5.21,5.04
11550,16170,2006-04-11,4.63,4.7,4.88,4.88,4.88,4.86,4.86,4.88,4.93,5.17,5.0
11551,16171,2006-04-12,4.62,4.7,4.91,4.91,4.91,4.9,4.91,4.93,4.98,5.22,5.05
11552,16172,2006-04-13,4.54,4.7,4.94,4.95,4.96,4.96,4.97,5.0,5.05,5.28,5.11
11554,16176,2006-04-17,4.55,4.72,4.93,4.93,4.91,4.91,4.93,4.96,5.01,5.25,5.08
11555,16177,2006-04-18,4.54,4.72,4.9,4.88,4.84,4.86,4.87,4.92,4.99,5.23,5.07
11556,16178,2006-04-19,4.54,4.73,4.9,4.89,4.86,4.87,4.91,4.96,5.04,5.29,5.13
11557,16179,2006-04-20,4.55,4.73,4.9,4.9,4.89,4.89,4.92,4.97,5.04,5.29,5.14
11558,16180,2006-04-21,4.58,4.75,4.9,4.9,4.9,4.89,4.92,4.95,5.01,5.25,5.1
11559,16183,2006-04-24,4.58,4.75,4.93,4.92,4.89,4.88,4.9,4.94,4.99,5.22,5.07
11560,16184,2006-04-25,4.63,4.79,4.96,4.95,4.95,4.94,4.98,5.02,5.07,5.31,5.16
11561,16185,2006-04-26,4.65,4.79,4.98,4.98,4.99,4.99,5.02,5.06,5.12,5.34,5.18
11562,16186,2006-04-27,4.64,4.78,4.93,4.93,4.91,4.92,4.95,5.0,5.09,5.32,5.18
11563,16187,2006-04-28,4.6,4.77,4.91,4.9,4.87,4.87,4.92,4.98,5.07,5.31,5.17
11564,16190,2006-05-01,4.61,4.82,4.98,4.97,4.94,4.95,4.99,5.04,5.14,5.38,5.23
11565,16191,2006-05-02,4.66,4.81,4.98,4.96,4.92,4.94,4.98,5.03,5.12,5.35,5.2
11566,16192,2006-05-03,4.65,4.82,5.0,4.98,4.94,4.96,5.01,5.06,5.15,5.38,5.24
11567,16193,2006-05-04,4.61,4.8,5.01,5.0,4.97,4.99,5.03,5.08,5.16,5.38,5.23
11568,16194,2006-05-05,4.61,4.83,5.0,4.98,4.94,4.96,4.99,5.03,5.12,5.35,5.2
11569,16197,2006-05-08,4.64,4.87,5.03,5.01,4.97,4.99,5.01,5.05,5.12,5.34,5.19
11570,16198,2006-05-09,4.72,4.88,5.03,5.01,4.97,4.98,5.01,5.05,5.13,5.35,5.2
11571,16199,2006-05-10,4.69,4.88,5.03,5.02,5.01,5.0,5.03,5.06,5.13,5.34,5.19
11572,16200,2006-05-11,4.64,4.82,4.99,4.99,4.99,5.01,5.04,5.07,5.14,5.38,5.23
11573,16201,2006-05-12,4.64,4.85,5.0,5.0,5.01,5.03,5.08,5.12,5.19,5.44,5.29
11574,16204,2006-05-15,4.68,4.86,5.02,5.01,4.99,5.01,5.04,5.08,5.15,5.41,5.26
11575,16205,2006-05-16,4.76,4.83,4.99,4.98,4.96,4.97,4.99,5.03,5.1,5.36,5.22
11576,16206,2006-05-17,4.75,4.83,5.0,4.99,4.97,5.0,5.03,5.08,5.16,5.42,5.28
11577,16207,2006-05-18,4.75,4.83,4.98,4.96,4.94,4.94,4.96,5.0,5.08,5.32,5.18
11578,16208,2006-05-19,4.75,4.82,5.0,4.98,4.96,4.95,4.96,4.98,5.05,5.28,5.14
11579,16211,2006-05-22,4.74,4.83,5.02,4.99,4.94,4.94,4.94,4.96,5.04,5.28,5.13
11580,16212,2006-05-23,4.75,4.84,5.02,5.0,4.97,4.97,4.98,5.0,5.07,5.3,5.16
11581,16213,2006-05-24,4.74,4.82,4.99,4.97,4.94,4.92,4.93,4.96,5.03,5.27,5.13
11582,16214,2006-05-25,4.74,4.82,5.01,5.0,4.98,4.97,4.97,4.99,5.07,5.31,5.17
11583,16215,2006-05-26,4.75,4.84,5.02,5.0,4.96,4.94,4.95,4.97,5.06,5.3,5.16
11585,16219,2006-05-30,4.76,4.84,5.04,5.02,4.99,4.99,4.99,5.01,5.09,5.33,5.19
11586,16220,2006-05-31,4.75,4.86,5.08,5.07,5.04,5.03,5.04,5.06,5.12,5.35,5.21
11587,16221,2006-06-01,4.75,4.83,5.06,5.05,5.04,5.02,5.03,5.05,5.11,5.34,5.2
11588,16222,2006-06-02,4.75,4.81,5.01,4.98,4.92,4.91,4.9,4.92,5.0,5.24,5.1
11589,16225,2006-06-05,4.77,4.85,5.04,5.02,4.99,4.95,4.95,4.97,5.02,5.24,5.1
11590,16226,2006-06-06,4.8,4.86,5.05,5.03,4.99,4.96,4.95,4.96,5.01,5.22,5.08
11591,16227,2006-06-07,4.8,4.86,5.06,5.05,5.02,4.99,4.97,4.98,5.02,5.23,5.09
11592,16228,2006-06-08,4.78,4.87,5.06,5.04,5.01,4.97,4.95,4.96,5.0,5.2,5.06
11593,16229,2006-06-09,4.78,4.88,5.07,5.05,5.01,4.96,4.95,4.95,4.98,5.17,5.03
11594,16232,2006-06-12,4.78,4.93,5.13,5.09,5.02,4.97,4.95,4.96,4.99,5.17,5.03
11595,16233,2006-06-13,4.72,4.89,5.13,5.09,5.02,4.96,4.93,4.94,4.97,5.15,5.01
11596,16234,2006-06-14,4.68,4.9,5.17,5.15,5.11,5.06,5.03,5.04,5.05,5.23,5.09
11597,16235,2006-06-15,4.6,4.85,5.16,5.15,5.14,5.1,5.08,5.08,5.1,5.27,5.13
11598,16236,2006-06-16,4.63,4.88,5.19,5.18,5.16,5.13,5.1,5.1,5.13,5.31,5.17
11599,16239,2006-06-19,4.67,4.93,5.25,5.23,5.19,5.15,5.12,5.13,5.14,5.32,5.18
11600,16240,2006-06-20,4.7,4.92,5.24,5.23,5.19,5.16,5.13,5.14,5.15,5.33,5.19
11601,16241,2006-06-21,4.66,4.92,5.23,5.22,5.2,5.16,5.14,5.14,5.16,5.32,5.19
11602,16242,2006-06-22,4.55,4.92,5.24,5.24,5.23,5.21,5.18,5.18,5.2,5.37,5.23
11603,16243,2006-06-23,4.61,4.98,5.27,5.27,5.27,5.23,5.21,5.21,5.23,5.4,5.26
11604,16246,2006-06-26,4.73,5.03,5.32,5.3,5.27,5.25,5.22,5.23,5.25,5.42,5.28
11605,16247,2006-06-27,4.86,5.05,5.31,5.28,5.24,5.22,5.19,5.2,5.21,5.38,5.24
11606,16248,2006-06-28,4.79,5.01,5.31,5.3,5.29,5.26,5.23,5.23,5.25,5.42,5.28
11607,16249,2006-06-29,4.68,5.01,5.26,5.25,5.21,5.19,5.17,5.18,5.22,5.39,5.26
11608,16250,2006-06-30,4.54,5.01,5.24,5.21,5.16,5.13,5.1,5.11,5.15,5.31,5.19
11609,16253,2006-07-03,4.69,5.08,5.31,5.26,5.17,5.14,5.11,5.12,5.15,5.33,5.2
11611,16255,2006-07-05,4.81,5.01,5.32,5.29,5.24,5.21,5.19,5.19,5.23,5.39,5.27
11612,16256,2006-07-06,4.8,5.0,5.31,5.28,5.22,5.17,5.15,5.16,5.19,5.35,5.23
11613,16257,2006-07-07,4.83,5.02,5.28,5.25,5.17,5.13,5.1,5.1,5.14,5.29,5.18
11614,16260,2006-07-10,4.86,5.06,5.32,5.27,5.17,5.13,5.1,5.1,5.13,5.29,5.17
11615,16261,2006-07-11,4.9,5.05,5.3,5.26,5.17,5.11,5.07,5.08,5.1,5.26,5.14
11616,16262,2006-07-12,4.92,5.06,5.3,5.26,5.17,5.12,5.08,5.09,5.1,5.26,5.14
11617,16263,2006-07-13,4.88,5.05,5.27,5.22,5.12,5.07,5.04,5.05,5.08,5.23,5.12
11618,16264,2006-07-14,4.87,5.06,5.26,5.2,5.08,5.05,5.02,5.03,5.07,5.23,5.11
11619,16267,2006-07-17,4.91,5.11,5.3,5.24,5.12,5.07,5.04,5.04,5.07,5.23,5.1
