,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.77150482608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasicek Based,8.77150482608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Based (krd),7.776574505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasicek Based (krd),7.776574505,0.456055813387,0.147240671159,0.0147065694219,0.0492993955975,0.063795187972,0.100078808319,0.0349293426059,0.030625300607,0.0549719071944,0.0522052966017,0.00279770296362,0.06269817523,0.131022299545,0.0647755265955,0.0160224817234,0.0551699768194,0.029351099357,0.0671001913125,0.0543287609212,0.00165147761656,0.0531709351279,0.0392170741342,0.0193050461199,0.0847882741928,0.041780067477,0.0424950877724,0.0328555380002,0.0324318000553,0.0473630013191,0.044600654241,0.00688995101629,0.0579226686664,0.0773403259359,0.0145614286922,0.0186860992967,0.0679623970447,0.0549371575628,0.019581464644,0.0185657975167,0.0428928754134,0.057211803347,0.0226764413215,0.00320821854878,0.00638937602003,0.0138560142441,0.00357634975871,0.0268706185601,0.00530205165417,0.0030914586151,0.0270195810684,0.054796482247,0.0223483942237,0.0138157754154,0.0617373987924,0.0448443113121,0.0287184846046,0.00220381894097,0.0159406101974,0.00845919706704,0.00723797607983,0.0339519159604,0.0472851853679,0.0137764217926,0.0314875567094,0.0140549562247,0.0112160015353,0.0139620743855,0.00349474443772,0.00829259548328,0.0100326642162,0.00264825857562,0.0137570476523,0.00321495191968,0.0610005527102,0.0575417210309,0.0226900773066,0.0292411337627,0.00186839132867,0.00929908426756,0.0112684017301,0.0113133569984,0.0323199993654,0.0380601605249
