,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.39738984177,1.70761930187,0.841664902805,0.653511823591,0.550178044188,0.82543822741,0.762742404263,0.702551608807,0.590294954815,0.568562776079,0.697468558398,0.605383794148,0.625108188973,0.635704080353,0.63801771872,0.513728212084,0.551019858943,0.534052715721,0.577545380058,0.471197384272,0.511248584347,0.210436866228,0.483561141469,0.429337929515,0.319680803858,0.514290514192,0.465399044782,0.438941681491,0.430839594368,0.408149302678,0.409440343018,0.402282806924,0.334880540189,0.352807636601,0.372573755149,0.35519697888,0.354004807644,0.364966070921,0.358073819475,0.338734417412,0.327966906049,0.316071471752,0.328001914092,0.0583160249839,0.257825323125,0.29482385993,0.282167694534,0.263342529907,0.257081890959,0.267517617776,0.044363584943,0.253938034416,0.242639317774,0.230214958332,0.203915096748,0.213686370194,0.206492196731,0.202885100826,0.182216912241,0.167823112194,0.16229961134,0.0,0.174031753408,0.153139873519,0.151435045708,0.144805036956,0.138761268597,0.129069909515,0.122389847486,0.114781667875,0.11316302903,0.0983325222649,0.0910020890286,0.0973375011409,0.0930624511891,0.0779362756357,0.0751895540003,0.0671138056428,0.0609218983179,0.0,0.0519639219841,0.0341588644681,0.0,0.0272555381851
Vasicek Based,8.39738984177,1.60016312897,1.08980764946,0.909261654209,0.562781250201,0.582395022315,0.697241200178,0.653757371015,0.61007937302,0.661149753721,0.693908191495,0.617305509561,0.607382730884,0.515371567087,0.481922478204,0.591649273786,0.533337878998,0.487631008741,0.545574764309,0.347020204891,0.531151093533,0.459727149459,0.50920677606,0.455398574665,0.441814880557,0.398125329293,0.413320464981,0.441323414065,0.420004166645,0.322655076706,0.422480187926,0.296926484382,0.378112026065,0.409813920172,0.381173502059,0.330884921298,0.341370245133,0.369109287371,0.347770819281,0.352802189325,0.332205672336,0.305069647423,0.323350670127,0.289303964856,0.245035801916,0.29669997882,0.299625214966,0.260106369511,0.262909364598,0.273341984904,0.253719300846,0.245326976234,0.244393334426,0.23912968888,0.22514814121,0.195304415398,0.216364161169,0.187323136602,0.183812455842,0.167023061308,0.16054235894,0.170352800687,0.165645296954,0.152905934181,0.151080152523,0.145400751671,0.140490821463,0.129069861115,0.12291832821,0.115037637124,0.113003645708,0.0983801801783,0.0911788380369,0.0975505272156,0.0925305704253,0.0776736463456,0.0754535112145,0.0671891997548,0.0609761540965,0.0501831456886,0.0430715274871,0.0341726760257,0.0310154987011,0.0195252915869
Data Based (krd),7.34065598852,4.27643043609,0.859849493046,0.035563597266,0.699464136343,1.51074093257,0.394319862454,0.450190724501,0.957824645569,0.0160593027935,1.09604113512,0.445786278443,0.169258581184,0.200014547765,0.172692446957,1.00678624571,0.243315120734,0.0344373722351,0.672019528304,1.24624937374,0.634613080262,1.35616051498,1.16374024076,0.400816379453,1.01270397013,2.01612903909,0.475994137341,0.160726658507,0.248605390163,0.178065569473,0.050111158472,0.0518266784015,0.608086499304,0.132610572447,0.261046192074,0.0105716779452,0.125020042544,0.0186370428084,0.0155812958021,0.0856945897054,0.172978219983,0.00874896645889,0.317580553388,2.20142549949,1.2523846978,0.847866821117,0.19375492131,0.0160954536185,0.0128299247912,0.0146484674427,1.87445421212,1.88855383843,0.0414864549066,0.0356673715753,0.651651290405,0.619639460369,0.0255115913849,0.311453812292,0.955441761638,0.019654128821,0.0233485652762,0.0,0.0211680903884,0.00747450903462,0.00590923809231,0.00463770270197,0.000208242780336,0.00137449695344,0.000611143692603,0.00497078924026,0.00865693103114,0.00396734829494,0.0333642283612,0.0309660431149,0.0191269417513,0.0157326544165,0.00427166267688,0.0142800855572,0.0165492086957,0.0,0.0107007702507,0.0150067048797,0.0,0.0129090537687
Vasicek Based (krd),7.34065598852,0.233505882525,0.339770982391,0.089480184214,0.31828852402,0.802355017488,0.30088220948,0.299916358692,0.44831634553,0.0718979918752,0.0549181172926,0.0689898790562,0.293427838117,0.616340888639,0.625050958557,1.47125419453,0.0120659923978,0.388511060799,0.0167588499714,0.564132681104,0.912821988777,0.844115975299,1.07272343399,0.0757758981556,0.0132313046508,1.54772876203,0.665195117299,0.882334265855,0.107975771216,0.77719096647,0.979388946184,1.06040434134,0.984171822136,0.193780020025,0.0139093483524,0.278976862678,0.0435742372913,0.303844346435,0.279207905191,0.270374532412,0.00177031620087,0.0287021999437,0.040063854259,0.389031322419,0.385542414329,0.00397540111465,0.00222207754268,0.0132327077019,0.0181631637464,0.01685753321,0.400749824868,0.384731246259,0.00158594722457,0.0337899813702,0.0560341464161,0.67333029238,0.61560886911,0.95026873396,0.954918491037,0.0165467876204,0.0192158926959,0.034331771337,0.0381089638276,0.00297945976254,0.0433838761891,0.00948042530355,0.020344285711,0.0166570235234,0.0133619670779,0.00736975633858,0.00505532274731,0.0180941444469,0.00395272482356,0.013602255187,0.0748181142132,0.059766288713,0.0225176887375,0.0208676189582,0.00776306560887,0.0306165560338,0.0358182956451,0.0108577527143,0.0108523695489,0.00241465645203
