,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.22533844763,0.179911074432,0.175316798949,0.0912435532056,0.0880455663868,0.0468990891506,0.085829986022,0.0852187380378,0.0862490600736,0.0809799676991,0.0804146578146,0.0776163731051,0.0811022285373,0.0818297106964,0.0819109069082,0.0835516673755,0.0738665486208,0.0694821575866,0.0702747973408,0.0360324255518,0.0707505641102,0.0358310876576,0.0625240964393,0.061340426977,0.0327733278963,0.030629380747,0.0653220513761,0.0655834064835,0.0646143136058,0.0319379422932,0.0618560348868,0.0330322506123,0.0327834014008,0.0303905530183,0.0301622003127,0.0302622605648,0.0583757651139,0.0345422890468,0.0307972871983,0.0310642292738,0.0312805499236,0.0287529575137,0.0538286787258,0.0169680161062,0.0292073703751,0.025935773398,0.0258044238756,0.0254062061861,0.0251756279626,0.0261638131921,0.0190420990128,0.0268928954867,0.025492839602,0.0230560026386,0.0227674936084,0.0225466514332,0.022516872484,0.0321125286067,0.0195621594384,0.0192020273387,0.0190824037935,0.0,0.0202937429121,0.0192342949839,0.0190439542126,0.016480791754,0.0160432707666,0.0157368128868,0.0154292230795,0.0127524703565,0.0121430342646,0.011664980784,0.0112463539125,0.0114801214514,0.011247516048,0.0109120492073,0.0106734031471,0.00800667882295,0.00725982379573,0.0,0.00762164855843,0.00388621709142,0.0,0.00257605838043
Vasicek Based,8.22533844763,0.231220786198,0.04825727403,0.189107311453,0.0471261447706,0.0479313725873,0.0386548157151,0.0651748049543,0.0483346867154,0.0797665171489,0.0874539271021,0.0704956101103,0.0320048736474,0.0483395362502,0.0454110009499,0.0675028459151,0.0449766673307,0.0300661037742,0.0676426461345,0.028730844607,0.062759759588,0.0646916588796,0.0556369792177,0.0480594827424,0.0365231073878,0.0621235308281,0.0303493023514,0.0577010391447,0.0567812323697,0.0254767780088,0.0579872186155,0.0289995190122,0.0290680654097,0.0344781431972,0.0286471304432,0.0274679925925,0.0329191674052,0.0333833401032,0.028574099708,0.0283835706827,0.0280455539396,0.0253899518162,0.0238194662731,0.0459136289934,0.0419756290919,0.0250588615032,0.0361403056031,0.0367210051895,0.0366749073534,0.0231310426463,0.024545206252,0.0255881715961,0.0256967532872,0.0225580511816,0.0233053078522,0.0224969834897,0.0217193470021,0.0184415624954,0.0180066586275,0.0183567567373,0.0180130853477,0.018627743465,0.0194197574434,0.0195937763689,0.0179050723232,0.0172084774619,0.0170075643736,0.0159247045928,0.0150626214025,0.0124611478403,0.0122006592076,0.0118313327858,0.0107977905972,0.0112614790035,0.0114500828879,0.0113723597282,0.010538744689,0.00804867831545,0.00723430206099,0.00680751608239,0.00644624742109,0.00401924804288,0.00257419349589,0.00178576030872
Data Based (krd),7.08324376038,6.80482603865,0.166892418526,0.00785586688045,0.0093633766556,0.156627560495,0.0680567001706,0.118077108534,0.00269388676539,0.00279467512343,0.00529553775767,0.0113627206529,0.00468131872166,0.00164289328216,0.00540160512276,0.00245798150326,0.163318534593,0.00373838846518,0.00158624502797,0.162046877115,0.167390017921,0.0656227931286,0.0600503047917,0.00489447784367,0.161372291481,0.0881268379655,0.109247489955,0.00325909793905,0.00464066352907,0.165569138829,0.16912512731,0.163133996423,0.000963905983171,0.000731089078202,0.000614036128446,0.000854961815803,0.171666989067,0.110448831797,0.0624251210606,0.00154570374127,0.00263057039216,0.000698488658616,0.171528965648,0.12309799882,0.0903259844573,0.000766945053858,0.000706697039293,0.00126212475091,0.000938211530736,0.0010651698239,0.0902716299445,0.0894933753283,0.00288366953751,0.00242796426155,0.00128116665503,0.000952457713318,0.00159863635712,0.165947937436,0.16660397886,0.00147152934643,0.0019832430313,0.0,0.00149360287605,0.000639168428284,0.00052670018019,0.00030352766217,5.09444721717e-05,0.000278473724943,5.90338980349e-05,0.000415110246548,0.000714111618437,2.59773968491e-05,0.00263133806187,0.00244931775364,0.00146654377589,0.00133339659215,0.000357702508028,0.00124046127284,0.00147844416836,0.0,0.000844138233969,0.00109453565601,0.0,0.000787027562586
Vasicek Based (krd),7.08324376038,0.826666373733,0.237977174563,0.0784389131426,0.0715343723499,0.0950725828473,0.196551973554,0.0251261642046,0.0402120634175,0.203402707811,0.0338177823462,0.0433534644505,0.21267131924,0.0659365309499,0.0442879514397,0.0384706326115,0.0666445798516,0.0245216127364,0.206659015117,0.0541757867866,0.00730263363666,0.00892402459629,0.0586368516869,0.0196462908925,0.0306574666115,0.0294599338262,0.173882219572,0.163745256747,0.0439408985604,0.0648863601302,0.156204207736,0.00189955242423,0.045946400256,0.0548550407985,0.00606095210072,0.00382924011079,0.11825667801,0.139479426784,0.0196329004558,0.0373233207375,0.00345491801799,0.0185907535052,0.10120018589,0.129465046124,0.00734583562273,0.0177484542648,0.00652729796476,0.0148041115135,0.00441696324477,0.00740152818479,0.178096039744,0.171951139583,0.00792452527587,0.029396785832,0.0692467767913,0.0210027504115,0.0279253998299,0.19705837308,0.209530853998,0.00833128027329,0.0224108423823,0.0301170374089,0.0510661917539,0.0110178742219,0.0476395918705,0.0294977877674,0.00117636362172,0.00376407342195,0.0074371972878,0.00433998546159,0.00899471510405,0.0133399515207,0.0328542040204,0.0269211372544,0.0456181883717,0.038926346158,0.0329881562293,0.0183971134913,0.000416721003642,0.0340115115975,0.0117659443477,0.00867878329926,0.0268489618541,0.0422276756697
