,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.77150482608,0.74181530536,0.128284903754,0.120432196938,0.145646283932,0.117033074794,0.179463732955,0.126093271625,0.115556987967,0.110834000756,0.122730462879,0.113844869958,0.11875583424,0.128018925483,0.126917425701,0.116759291222,0.117788780135,0.115710911477,0.12576108306,0.112869733687,0.122970282413,0.0399311887304,0.11625209927,0.101230625449,0.102490028626,0.00799888530272,0.123731750475,0.120225461142,0.112053080548,0.106730708701,0.110390418736,0.106752865495,0.106479427604,0.102268648931,0.100278458934,0.0976659073841,0.0981622371443,0.106838376963,0.107521219214,0.105667067354,0.105108894087,0.100466611881,0.109180854571,0.00472334157726,0.0989683328081,0.0915064759434,0.0899380681221,0.0852503529188,0.0851303526211,0.0948864971903,0.0042462610865,0.0961984070278,0.0892506710644,0.0850576943048,0.0853186196441,0.0789741211329,0.0796122946616,0.0772674867546,0.0725206284133,0.0676660753772,0.0680186932608,0.0,0.080250846207,0.0728444585635,0.0705729495172,0.0659187587814,0.0658706115514,0.0587167751937,0.0580897930944,0.0530615638571,0.0498013010518,0.0439500201295,0.0428479743514,0.049204528183,0.0503068010407,0.0453457606326,0.0423708847358,0.0367885073176,0.0360878142445,0.0,0.0317138054091,0.0204625625462,0.0,0.01384169805
Vasicek Based,8.77150482608,0.0705705273709,0.87387370898,0.0936971281282,0.128419817351,0.0393919851805,0.0375825878804,0.0248471814085,0.121518926686,0.0933284838044,0.0873419586894,0.0816695163323,0.102517557064,0.0950493836665,0.107364088,0.0940326862229,0.0292202744123,0.0985326212726,0.0985655965715,0.0100633839148,0.0991955068507,0.00936449044467,0.114950994811,0.100480176837,0.0960660981458,0.111480256759,0.101901380053,0.104024165529,0.0954939385511,0.0971875418751,0.106763913839,0.0929784671674,0.0935853512959,0.11297541052,0.0954966567155,0.0886438163131,0.0881169586803,0.104940932814,0.0982431253162,0.0944136305409,0.0939194225352,0.0886517813362,0.09590716557,0.0891158191148,0.084446985766,0.087582808646,0.0799470982966,0.0806293202263,0.0791371918505,0.0844639179473,0.0994271967518,0.0901943310041,0.0888948313542,0.0832060606223,0.0865369836528,0.0785631880406,0.0769943541863,0.0700140692689,0.0669659728486,0.0647034579907,0.0642609311605,0.0724597585443,0.0761400959493,0.0734491328994,0.0668746295627,0.0676775188727,0.0683748912562,0.0591539473195,0.0570942745251,0.0521303659496,0.0498397507365,0.0443030129762,0.0414429527522,0.0485254208753,0.0507513226165,0.0465944844561,0.0420320633509,0.036900326798,0.0359953861633,0.0279785901441,0.0258957327369,0.0206064987307,0.0157408305284,0.0091104068793
Data Based (krd),7.776574505,7.46400866065,0.00451908176076,0.00734056424436,0.0383182987276,0.0455978255328,0.152459508248,0.102206633837,0.044623236557,0.002702218246,0.0520318707288,0.010934439992,0.00431756779769,0.00148480458625,0.00501237916572,0.0442541041924,0.00644943292695,0.00491479863578,0.050170850561,0.0435679446963,0.0516780918258,0.241455516274,0.232652148188,0.0551383493498,0.000700158964636,0.267507104489,0.312680200952,0.00449459943185,0.0419707419356,0.0040680274117,0.00790466110146,0.00916057932627,0.00248442624414,0.00191383863529,0.00165724014079,0.00227722568439,0.00246601845996,0.00294756925498,0.0026912805773,0.00418999574632,0.00700046700291,0.00187455562453,0.0514189914398,0.3473380718,0.296026582984,0.00210013933868,0.00192762363412,0.00337981003209,0.00253049029165,0.00287646105264,0.29277875655,0.295788797814,0.00783560758995,0.00660543659722,0.00339143237067,0.00267315456734,0.00440013885739,0.0495939461065,0.0513531711336,0.0040839856612,0.00538929441116,0.0,0.00419194164311,0.00173516587136,0.0014205721145,0.000864576708966,0.000109663709304,0.000685876238763,0.000157100238982,0.00113145763395,0.00195025210671,0.000151680289845,0.00724128046581,0.00673738243913,0.00405524437223,0.00362629764281,0.000974233998936,0.00335839640001,0.00398621764911,0.0,0.00232049322498,0.00305081936528,0.0,0.00227375701158
Vasicek Based (krd),7.776574505,0.233623243893,0.188292904363,0.00454841094285,0.0266669757591,0.363586701781,0.0513206442992,0.0221369286368,0.232493633609,0.0876696561611,0.006435637743,0.0330698616441,0.105472256403,0.158017888886,0.0874848013954,0.0354758821649,0.296583443958,0.26680007023,0.0109779353511,0.220974437669,0.323964215232,0.0419683276853,0.133428946277,0.01647172274,0.0745395286042,0.0757632220456,0.0268194559779,0.00664057743004,0.0436421467155,0.00583467327785,0.0892135289607,0.0326576614792,0.0479204857434,0.0737688277832,0.0192399340466,0.00584372996816,0.0277599094502,0.0470457449496,0.0195799647426,0.0335603625006,0.015648117105,0.0294109383805,0.0265143709886,0.0101301531033,0.0554228264842,0.00942255478309,0.0175849671387,0.0259769416178,0.0250230081052,0.0179565073563,0.019142321803,0.00831452970027,0.0138955323584,0.0276693890949,0.0675195694966,0.0589794914422,0.0147182539235,0.0704491931594,0.102800418539,0.00996134054673,0.0127667773919,0.0251374728705,0.0437996946111,0.00946688891841,0.0380124013739,0.00836565862456,0.0266546961597,0.0219247434561,0.00875358413444,0.00818308024801,0.020517648094,0.00623294335298,0.024788755194,0.0118984958584,0.0644590142254,0.0602528176506,0.0332470808951,0.00803175569965,0.0225997702513,0.0193059874444,0.00815524183093,0.0107798077154,0.0294164083651,0.0248914801316
