,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.77150482608,0.74181530536,0.128284903754,0.120432196938,0.116570266027,0.117033074794,0.143297942118,0.114951377823,0.115556987967,0.110834000756,0.123038674475,0.103708949712,0.118892547126,0.128018925483,0.117227652316,0.116759291222,0.117788780135,0.115710911477,0.125954401325,0.112869733687,0.122970282413,0.0080381878397,0.108127987093,0.101230625449,0.102490028626,0.00817319632155,0.123731750475,0.112119608929,0.112053080548,0.106730708701,0.110390418736,0.106752865495,0.106479427604,0.102268648931,0.100278458934,0.0976659073841,0.0981622371443,0.106838376963,0.107521219214,0.105667067354,0.105108894087,0.100466611881,0.0308878502334,0.00472334157726,0.101583483614,0.0915064759434,0.0899380681221,0.0852503529188,0.0851303526211,0.0948864971903,0.0042462610865,0.0961984070278,0.0892506710644,0.0850576943048,0.0853186196441,0.0789741211329,0.0796122946616,0.0772674867546,0.0725206284133,0.0676660753772,0.0680186932608,0.0,0.080250846207,0.0728444585635,0.0705729495172,0.0659187587814,0.0658706115514,0.0587167751937,0.0580897930944,0.0530615638571,0.0498013010518,0.0439500201295,0.0428479743514,0.049204528183,0.0503068010407,0.0453457606326,0.0423708847358,0.0367885073176,0.0360878142445,0.0,0.0317138054091,0.0204625625462,0.0,0.01384169805
Vasicek Based,8.77150482608,0.876320621323,0.128290466698,0.0130991148884,0.0940750804076,0.0956658627425,0.0975776427058,0.0911397325427,0.0124185879428,0.104552319172,0.0267357499179,0.081713804781,0.0911390469184,0.0958901422375,0.00985693885357,0.100818283353,0.0903297621275,0.00853339157779,0.0323959120927,0.106217488927,0.0314585704404,0.118855744635,0.09200794171,0.100497518548,0.106343645739,0.00694524839054,0.100794431882,0.00748633903399,0.096278772905,0.0970858166894,0.0075771185258,0.0985219794673,0.0940866574602,0.113065228268,0.103442890175,0.0887520501704,0.0877046068247,0.104454070767,0.0981717816502,0.10004634889,0.093945150113,0.00438765479154,0.0980800802341,0.089214419223,0.0843386276523,0.0879770125968,0.0799463013913,0.00544107637161,0.085847149512,0.0843889246705,0.0901258509919,0.00413059947759,0.0970967152287,0.0832042879303,0.0863409464114,0.078623008093,0.0772409012066,0.0699539964664,0.0669809828385,0.0647436271059,0.0642502242175,0.0724515541098,0.0761193829326,0.073469291979,0.0668682599621,0.0676098444394,0.0684395686573,0.0592707613629,0.0569276998583,0.0520437297101,0.0499230016014,0.0443285247185,0.0414822090653,0.0485340576571,0.0506631316592,0.0466791148507,0.0420009167799,0.036893950736,0.0359719947966,0.0279954405162,0.0259284098352,0.0206001599368,0.0157371896832,0.00910518189668
Data Based (krd),7.776574505,7.46400866065,0.00451908176076,0.00734056424436,0.0083579863439,0.00108150873088,0.044823447443,0.0416809454674,0.00255274518684,0.002702218246,0.0520318707288,0.0573884254993,0.0507896211615,0.00148480458625,0.0515981427178,0.00234226391399,0.00644943292695,0.00491479863578,0.050170850561,0.0435679446963,0.0516780918258,0.33100079073,0.273543562686,0.00642354759374,0.000700158964636,0.267507104489,0.312680200952,0.0435104110249,0.0060604728106,0.0040680274117,0.00790466110146,0.00916057932627,0.00248442624414,0.00191383863529,0.00165724014079,0.00227722568439,0.00246601845996,0.00294756925498,0.0026912805773,0.00418999574632,0.00700046700291,0.00187455562453,0.217555112596,0.0785205483746,0.296026582984,0.00210013933868,0.00192762363412,0.00337981003209,0.00253049029165,0.00287646105264,0.29277875655,0.295788797814,0.00783560758995,0.00660543659722,0.00339143237067,0.00267315456734,0.00440013885739,0.0495939461065,0.0513531711336,0.0040839856612,0.00538929441116,0.0,0.00419194164311,0.00173516587136,0.0014205721145,0.000864576708966,0.000109663709304,0.000685876238763,0.000157100238982,0.00113145763395,0.00195025210671,0.000151680289845,0.00724128046581,0.00673738243913,0.00405524437223,0.00362629764281,0.000974233998936,0.00335839640001,0.00398621764911,0.0,0.00232049322498,0.00305081936528,0.0,0.00227375701158
Vasicek Based (krd),7.776574505,0.445522896718,0.136924331554,0.317645102837,0.348704955307,0.0207796403484,0.13031582622,0.0179054616607,0.298715531932,0.369695784139,0.314229406743,0.339395198786,0.00739417794315,0.117351952338,0.215795561918,0.301992024682,0.0523556094091,0.282164269652,0.0602785621953,0.355270424059,0.22226564291,0.329736255046,0.00187900019506,0.0281366373857,0.0472319611048,0.0848949824976,0.0152508367074,0.313229433058,0.318365688231,0.024753289325,0.278397354458,0.303652500235,0.0683232803809,0.0790895272307,0.00602915954313,0.00348112922573,0.0128465338398,0.0238071794444,0.00301748312574,0.00876049857662,0.0142569625548,0.325891804446,0.349496504085,0.0243194284624,0.0754425709482,0.00861833169837,0.0162165058444,0.396629407278,0.387941550766,0.019860921611,0.0819528117878,0.278700235098,0.348872954111,0.0156251691894,0.0324153404029,0.0697027595684,0.00616327058034,0.0910148332847,0.0944310971743,0.00623373143759,0.0243014583736,0.0353220974744,0.067509439182,0.0232178951198,0.0306837921648,0.00316462672705,0.0359326274181,0.0253778735939,0.00534131342239,0.0178380251502,0.0161744941875,0.0228453290247,0.00425097837043,0.0193658332353,0.0577117451447,0.0593488938334,0.0454405265433,0.0404193824881,0.0143908544207,0.0336650489891,0.0256157804909,0.00258953793399,0.0176028030955,0.0228529293328
