,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.77150482608,0.74181530536,0.128284903754,0.120432196938,0.116570266027,0.117033074794,0.140297680098,0.114951377823,0.115556987967,0.110834000756,0.112077361305,0.103708949712,0.108130508615,0.118456242481,0.117227652316,0.116759291222,0.117788780135,0.115710911477,0.127727805356,0.112869733687,0.112986300539,0.00859578248354,0.108127987093,0.101230625449,0.102490028626,0.00817319632155,0.115977092316,0.112119608929,0.112053080548,0.106730708701,0.110390418736,0.106752865495,0.106479427604,0.102268648931,0.100278458934,0.0976659073841,0.0981622371443,0.106838376963,0.107521219214,0.105667067354,0.105108894087,0.100466611881,0.0085488113295,0.00472334157726,0.102300329471,0.0915064759434,0.0899380681221,0.0852503529188,0.0851303526211,0.0948864971903,0.0042462610865,0.0961984070278,0.0892506710644,0.0850576943048,0.0853186196441,0.0789741211329,0.0796122946616,0.0752181293124,0.0725206284133,0.0676660753772,0.0680186932608,0.0,0.080250846207,0.0728444585635,0.0705729495172,0.0659187587814,0.0658706115514,0.0587167751937,0.0580897930944,0.0530615638571,0.0498013010518,0.0439500201295,0.0428479743514,0.049204528183,0.0503068010407,0.0453457606326,0.0423708847358,0.0367885073176,0.0360878142445,0.0,0.0317138054091,0.0204625625462,0.0,0.01384169805
Vasicek Based,8.77150482608,0.914869376852,0.0923315341429,0.0941883977631,0.0903385807927,0.0961700580359,0.0976380685645,0.0904203735114,0.0285091392761,0.105923000924,0.0874590117052,0.0827105515,0.0920181115411,0.0949342067877,0.0994784940205,0.0941095321675,0.0917332151721,0.0963034613783,0.0989159101201,0.10121126976,0.0646132856784,0.00856082771811,0.110050256192,0.100230209761,0.0104208649257,0.108873033563,0.101742054873,0.00731917304744,0.0961491337138,0.0973750930377,0.0987850744667,0.0928206143119,0.103803600635,0.112751764406,0.0953467398166,0.0888401047447,0.088065761223,0.104976402881,0.106261833302,0.0944802922599,0.0940366353931,0.0888401756879,0.00504329242538,0.00470796967334,0.0980840884515,0.0874200622286,0.0799561537918,0.0807450696274,0.0792055881375,0.084395988571,0.0901527224596,0.0902593584661,0.0889477396036,0.0830644406276,0.0864449856577,0.078625386997,0.0771002506413,0.0699236120781,0.0669324120392,0.0648453789205,0.0643197407592,0.0723523545737,0.0762212107942,0.0735414498322,0.0667852452919,0.0676960520223,0.0683956986649,0.0592203923187,0.0570120994918,0.0520981126996,0.0498060524676,0.0443335344922,0.0414866113302,0.0484928120942,0.0507926227597,0.0466007212643,0.0420786576688,0.0368276536177,0.0359930274421,0.0280378093801,0.0258353995668,0.0206130426066,0.0157415199921,0.00909487562002
Data Based (krd),7.776574505,7.46400866065,0.00451908176076,0.00734056424436,0.0083579863439,0.00108150873088,0.044823447443,0.0416809454674,0.00255274518684,0.002702218246,0.00418893881231,0.0095885751273,0.00373562221254,0.00126549278862,0.00434452845734,0.00234226391399,0.00644943292695,0.00491479863578,0.050170850561,0.0435679446963,0.00204648736573,0.281365718819,0.273543562686,0.00642354759374,0.000700158964636,0.267507104489,0.265312761123,0.0038766047133,0.0060604728106,0.0040680274117,0.00790466110146,0.00916057932627,0.00248442624414,0.00191383863529,0.00165724014079,0.00227722568439,0.00246601845996,0.00294756925498,0.0026912805773,0.00418999574632,0.00700046700291,0.00187455562453,0.295939853153,2.37167498177e-05,0.296026582984,0.00210013933868,0.00192762363412,0.00337981003209,0.00253049029165,0.00287646105264,0.29277875655,0.295788797814,0.00783560758995,0.00660543659722,0.00339143237067,0.00267315456734,0.00440013885739,0.000237055756558,0.00198448807178,0.0040839856612,0.00538929441116,0.0,0.00419194164311,0.00173516587136,0.0014205721145,0.000864576708966,0.000109663709304,0.000685876238763,0.000157100238982,0.00113145763395,0.00195025210671,0.000151680289845,0.00724128046581,0.00673738243913,0.00405524437223,0.00362629764281,0.000974233998936,0.00335839640001,0.00398621764911,0.0,0.00232049322498,0.00305081936528,0.0,0.00227375701158
Vasicek Based (krd),7.776574505,0.452338459052,0.143593407023,0.0188781497067,0.0693227342187,0.115231150409,0.0745340042273,0.0223290811401,0.28251795414,0.367755530744,0.0331992541792,0.0422862694083,0.101100092569,0.143721345801,0.0429266691873,0.0599857547569,0.0919271484409,0.0145347945657,0.0227157111138,0.117737185455,0.10147580971,0.191119612344,0.00462229475388,0.0277138493382,0.418838681868,0.232141758667,0.0822869223371,0.359699751962,0.296568504281,0.0627483187185,0.0685195242687,0.0306578905179,0.0500530362515,0.0695314138483,0.00205332065368,0.00982342912226,0.0152638841386,0.0138402132739,0.0292050851305,0.0289459442985,0.0157014571578,0.0488163372299,0.0339377654294,0.0211463622536,0.0100691068112,0.00265314247571,0.0101784748939,0.0180273437201,0.0355693636925,0.0504265953963,0.0669099747403,0.0985919200657,0.0344540061428,0.0342647247764,0.0595656330919,0.0489056267547,0.0232470106975,0.0171122492335,0.0412594671449,0.00763754992582,0.00478458989113,0.0423641855023,0.0373514577048,0.00508672090361,0.027164266189,0.0164648901661,0.0413669675209,0.0278273494023,0.00303737638097,0.00746537978155,0.0171554115819,0.0123721740744,0.0360087188949,0.0371430931425,0.0741505156802,0.0551952657553,0.028573285916,0.0146179231291,0.0204326877446,0.00671195447793,0.0142175379382,0.0192394900129,0.0535221635992,0.0306641582047
