,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.22533844763,0.160837171936,0.0404375968111,0.0388621538705,0.0381151630879,0.0372156262147,0.0971347935211,0.0383189119334,0.0377657233164,0.0353118703792,0.0360321167224,0.0343849607722,0.0355380877813,0.043042594929,0.0361480779262,0.0367685809233,0.0374572879048,0.0357377529753,0.0450152704845,0.0368820574361,0.0359111789216,0.0331006090575,0.0337339463395,0.0325744320879,0.0327733278963,0.0321138571209,0.039500273607,0.0342519819238,0.0346140049151,0.0319379422932,0.0326822251301,0.0330322506123,0.0327834014008,0.0303905530183,0.0301622003127,0.0302622605648,0.0302124768326,0.0309268883313,0.0307972871983,0.0310642292738,0.0312805499236,0.0287529575137,0.0357784151545,0.0169680161062,0.0300777668021,0.025935773398,0.0258044238756,0.0254062061861,0.0251756279626,0.0261638131921,0.0190420990128,0.0268928954867,0.025492839602,0.0230560026386,0.0227674936084,0.0225466514332,0.022516872484,0.0199998328037,0.0195621594384,0.0192020273387,0.0190824037935,0.0,0.0202937429121,0.0192342949839,0.0190439542126,0.016480791754,0.0160432707666,0.0157368128868,0.0154292230795,0.0127524703565,0.0121430342646,0.011664980784,0.0112463539125,0.0114801214514,0.011247516048,0.0109120492073,0.0106734031471,0.00800667882295,0.00725982379573,0.0,0.00762164855843,0.00388621709142,0.0,0.00257605838043
Vasicek Based,8.22533844763,0.201446314953,0.0298081056989,0.0304982139481,0.0299998605571,0.0302224143611,0.011653459799,0.1717628711,0.0321681853524,0.0317889815027,0.0285031776348,0.0282793918621,0.0320155771176,0.0348705021585,0.0306469757906,0.0320479623917,0.029388248663,0.0465912726198,0.0306742056025,0.0331319348282,0.0317974347215,0.0346263745987,0.0265005958502,0.0384515596473,0.0309799311627,0.0307342715079,0.0304058353728,0.0298242034421,0.0339499671781,0.0298702562739,0.0293367010164,0.028919029052,0.0289754572304,0.034650581616,0.028760657261,0.0274553307068,0.0368590745498,0.0519057708112,0.0286253709539,0.0283169655208,0.0280334551342,0.0188171411005,0.0198774791158,0.0299871550577,0.0249414994439,0.0250630441029,0.0235368899179,0.0242403670697,0.0234555120378,0.0231126680973,0.021431871308,0.0274725203069,0.0254872318766,0.0225842204598,0.0233479752337,0.0224838209708,0.0217687793412,0.0184328343658,0.0180098271071,0.0183319912618,0.0180420233339,0.0186085477597,0.0194359093843,0.0195938304314,0.0179037249188,0.0172069937359,0.0170064279265,0.0159243629296,0.0150883068546,0.0124239262109,0.0122484460758,0.0117962925062,0.0108024157172,0.0112601424141,0.0114370961111,0.0113949133923,0.0105481898072,0.0080294078523,0.00723693992842,0.00682413595615,0.006438356377,0.00400894170413,0.00257811985063,0.00178626787545
Data Based (krd),7.08324376038,6.97653017207,0.00166686420415,0.00269843070133,0.00307445900172,0.000419455838725,0.0860995342725,0.0854130463353,0.000937737516749,0.000995763523025,0.0014830357709,0.0034465710214,0.00132578407953,0.0583418301162,0.0593945647109,0.000862259571902,0.0023387176354,0.00177890864178,0.0899198817062,0.0879326409489,0.000729276047484,0.0907062238346,0.092536224964,0.00234871614498,0.000269544181778,0.0881268379655,0.0333523038899,0.0566551120565,0.00219755806751,0.00149765512039,0.00287502157577,0.00337462599072,0.000963905983171,0.000731089078202,0.000614036128446,0.000854961815803,0.000889734060341,0.0010687977163,0.000988438715897,0.00154570374127,0.00263057039216,0.000698488658616,0.0902772522989,7.61641627823e-05,0.0903259844573,0.000766945053858,0.000706697039293,0.00126212475091,0.000938211530736,0.0010651698239,0.0902716299445,0.0894933753283,0.00288366953751,0.00242796426155,0.00128116665503,0.000952457713318,0.00159863635712,7.52152977728e-05,0.00075272017939,0.00147152934643,0.0019832430313,0.0,0.00149360287605,0.000639168428284,0.00052670018019,0.00030352766217,5.09444721717e-05,0.000278473724943,5.90338980349e-05,0.000415110246548,0.000714111618437,2.59773968491e-05,0.00263133806187,0.00244931775364,0.00146654377589,0.00133339659215,0.000357702508028,0.00124046127284,0.00147844416836,0.0,0.000844138233969,0.00109453565601,0.0,0.000787027562586
Vasicek Based (krd),7.08324376038,0.818871630814,0.0689013819203,0.0511329067428,0.0450034359065,0.05782906372,0.198299592415,0.170624256255,0.145446163986,0.0772737479747,0.0332958487462,0.0420248422184,0.0450774338769,0.0796553439196,0.0952861968886,0.106221179295,0.0821813371344,0.00907899557486,0.0920239580852,0.147430645623,0.139803911222,0.0215485016981,0.111463524238,0.14925780536,0.0626045679083,0.185366924956,0.112166857059,0.020631967234,0.13609490262,0.159609145694,0.0586400407306,0.0215653014444,0.0484321256757,0.061042507327,0.00706715536037,0.013853207033,0.124862258607,0.126263653334,0.0447910966743,0.0284785568444,0.0117062099816,0.104869011534,0.160898485772,0.192570078752,0.19148932042,0.0194850460518,0.00720650032295,0.0183239289245,0.002832545696,0.0150952836983,0.0122247435048,0.0176228909067,0.00584841974876,0.0186673258795,0.0460112028378,0.0407730953857,0.0209490446339,0.0381096582711,0.0318116628602,0.0184778717119,0.0121390862095,0.0245503412288,0.0275937530907,0.00569386877828,0.029435086617,0.0131740571046,0.00686667404299,0.0189549542075,0.00726554602637,0.0107044617887,0.0113715123012,0.0147251507546,0.0161841453951,0.00411172554813,0.0571348446726,0.0505501306816,0.0364799133554,0.0304525502465,0.00349823273343,0.0231109468675,0.0196083971583,0.00714524843997,0.0252029982375,0.02462552655
