,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.39738984177,1.19970691764,0.712816732379,0.469688264409,0.45766116352,0.472678828398,0.648738542406,0.48252045665,0.448184053557,0.438469622081,0.492503688298,0.41977759009,0.443566800147,0.447908987871,0.445917302352,0.389020318989,0.414998490189,0.411024065322,0.453710136936,0.378878348854,0.393021010668,0.172488698016,0.380426949745,0.344821084976,0.274057513085,0.385457072811,0.370527889484,0.359663796591,0.344495378818,0.334451727118,0.338422503014,0.311691322603,0.264330034747,0.260863847637,0.271518894652,0.249074839364,0.306661064181,0.305929191088,0.286204846618,0.235175680971,0.235010275199,0.230613553597,0.31238455224,0.0583160249839,0.188341629446,0.177170238585,0.177469837096,0.166262044826,0.162723242522,0.173106153781,0.0612364158748,0.166733309193,0.158358957948,0.15245324935,0.119817910865,0.11146458224,0.0682278013691,0.0896759741775,0.0666027893064,0.0573819765654,0.0581884188547,0.0,0.0660648428787,0.0543476858363,0.0572124209044,0.0523656814378,0.053135472057,0.046197184885,0.0465208388132,0.0411119736515,0.044010981506,0.0344855159365,0.0342707256052,0.0368931226876,0.0385057939385,0.0289755119342,0.0310986071677,0.0256574630322,0.0259979589051,0.0,0.0222691180146,0.0131364626656,0.0,0.00990834715152
Vasicek Based,8.39738984177,1.186254671,0.386684493283,0.543887491453,0.433779573313,0.357725299356,0.442992512043,0.450698815968,0.359890289976,0.434951963195,0.450864777229,0.40825620105,0.459145066417,0.351578752077,0.345616996508,0.389576277972,0.31840789897,0.379170607539,0.454967927707,0.285770107355,0.192577240402,0.32483035369,0.320240992768,0.271151938024,0.294271957377,0.0375081813239,0.215260095268,0.354979250534,0.365386204484,0.276365856945,0.291768019191,0.329192525472,0.253261982184,0.324224410003,0.277203017781,0.244942604639,0.247219357138,0.327525610878,0.306972154798,0.242480907452,0.226470113149,0.224201967929,0.276326574958,0.254357934208,0.177973384355,0.175003174371,0.221041215314,0.196668860086,0.159609333599,0.168826828981,0.166203165784,0.219315844557,0.15919519985,0.151572670129,0.12178616212,0.0353998794282,0.0923588178535,0.0622613012572,0.0648331961162,0.0560684565761,0.056293397586,0.0601447404483,0.0634922515782,0.0553667321204,0.0556909532151,0.0544481115726,0.0559095792377,0.0464610384359,0.0462010991584,0.0407441429688,0.044184655414,0.0347561266564,0.033809259954,0.0366597415776,0.0385590007539,0.029558039915,0.0310389987677,0.0256918780676,0.025944436897,0.0188578010493,0.0182302640643,0.0132466056189,0.0140160619756,0.00749034603307
Data Based (krd),7.34065598852,5.37057077089,0.702541705969,0.0370315557473,0.109003600158,0.0491525842387,0.902353270179,0.599982329104,0.222314272651,0.0133109554554,0.416727601656,0.384156073839,0.197255260058,0.164834858723,0.0888930750718,0.445065918657,0.213607244779,0.0264595676272,0.45298193004,0.601114989615,0.19695742183,1.10314953173,1.06684789379,0.214548384981,0.56462811413,1.03655926816,0.310489755399,0.0239968417867,0.152346500599,0.0185097014033,0.039576868826,0.108614737455,0.427816778272,0.00568639501667,0.115008450221,0.113439588597,0.597213441068,0.0149547461251,0.161459766759,0.650797288172,0.0206377784144,0.0057558139935,0.971285451133,1.67010816111,0.494802009969,0.00619484099124,0.00561243415648,0.00895437967073,0.00695523094089,0.00796028933287,0.489245331926,0.497214289002,0.0223522523646,0.0190046359421,0.308437926863,0.00708773246977,0.310600995313,0.64043116744,0.642955056367,0.00781230707415,0.00969842023524,0.0,0.0082567404071,0.00311211298261,0.00249855762487,0.00176734976314,4.90534810117e-05,0.00085457213247,0.000266314002169,0.00205319105641,0.00355979683314,0.00101296293322,0.0135030559032,0.012546459412,0.00767070623314,0.00653214792084,0.0017652924363,0.00598112333368,0.00700405000009,0.0,0.00433255694275,0.00591796147974,0.0,0.00481604569218
Vasicek Based (krd),7.34065598852,0.709280920351,2.10901307986,1.98168490178,0.0303272866322,0.605247144929,0.677853388817,1.03388918112,0.516224413991,0.615580792995,0.224747445553,0.269084593103,0.0293299808133,0.56195327755,0.082691406532,0.0639404603282,0.132641297433,0.422828771138,0.185633737526,0.439243210233,1.06545191026,0.302704506353,1.11261540447,0.666350795831,0.991814858793,2.23177870472,1.1596825013,0.919308417959,0.113272199256,0.524602223818,0.375525720991,0.199831862632,0.0854152678941,0.0351160995795,0.0324925384853,0.0190159521337,0.570219694952,0.600642439799,0.0140510151599,0.00948289950615,0.0413401026141,0.0359132144988,0.267280242729,0.0324849873725,0.335926699459,0.00431941415736,0.0199349676643,0.00647632046314,0.00657266632919,0.0009986024445,0.987991297641,0.970743652681,0.014256408025,0.0199167082059,0.0645327604634,1.0924288862,1.04684818504,0.660342216698,0.66040359539,0.0071211437489,0.00739151473879,0.0370346159687,0.0441116824371,0.00808604782835,0.0463558869672,0.0251494875133,0.00961877332715,0.00283833050089,0.00606759288555,0.00562766776809,0.00146832730658,0.00263816620325,0.0143203433289,0.0187879149029,0.0691206162544,0.0700979155621,0.0460982106377,0.0234701675721,0.016739397203,0.0199556594334,0.0208758093427,0.0120746624084,0.0142950481832,0.0248138288693
