,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Data Based,8.63852215694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasicek Based,8.63852215694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Based (krd),7.88693948663,0.356565013557,0.122599084497,0.028532011445,0.0677571792277,0.0661133408581,0.077074503724,0.0198479605803,0.0314727068299,0.0415109376445,0.0104835106319,0.0140907432304,0.0456559560682,0.0949830609684,0.0694286701855,0.014704132995,0.0522551869008,0.023117564972,0.0526844574439,0.0627808323021,0.0625409060425,0.00441675974414,0.0438206792933,0.0121638360254,0.0714888707385,0.0612105334109,0.0236196606305,0.00214566551557,0.0502851568902,0.0590820568658,0.0497052249844,0.0257061034854,0.0744561487108,0.0468835230147,0.0469064276605,0.00378837310641,0.0145963984675,0.00430012710501,0.0160934275934,0.00702426505832,0.0308124808561,0.0275920676439,0.0493954665352,0.029905603891,0.0282063546316,0.0162106568528,0.0270205978835,0.0194038340515,0.00830496689621,0.0387059970832,0.00130116358648,0.0146145483377,0.0167776571254,0.00743888302916,0.077184694107,0.0288878438569,0.0317448591272,0.00412740589751,0.03582669737,0.00546931270986,0.0151285092572,0.0305019732612,0.0346398850128,0.0129004724729,0.0619697622477,0.0169834070699,0.0221190689951,0.0214626352927,0.0297192372389,0.0353995755694,0.0273895514791,0.0157669989465,0.0148391797887,0.014482268134,0.0567290359917,0.0565706158615,0.00354494403891,0.01595330547,0.00409425088752,0.0183258859684,0.0115739975175,0.00817232872341,0.00587957802688,0.00972328106835
Vasicek Based (krd),7.88693948663,0.356565013557,0.122599084497,0.028532011445,0.0677571792277,0.0661133408581,0.077074503724,0.0198479605803,0.0314727068299,0.0415109376445,0.0104835106319,0.0140907432304,0.0456559560682,0.0949830609684,0.0694286701855,0.014704132995,0.0522551869008,0.023117564972,0.0526844574439,0.0627808323021,0.0625409060425,0.00441675974414,0.0438206792933,0.0121638360254,0.0714888707385,0.0612105334109,0.0236196606305,0.00214566551557,0.0502851568902,0.0590820568658,0.0497052249844,0.0257061034854,0.0744561487108,0.0468835230147,0.0469064276605,0.00378837310641,0.0145963984675,0.00430012710501,0.0160934275934,0.00702426505832,0.0308124808561,0.0275920676439,0.0493954665352,0.029905603891,0.0282063546316,0.0162106568528,0.0270205978835,0.0194038340515,0.00830496689621,0.0387059970832,0.00130116358648,0.0146145483377,0.0167776571254,0.00743888302916,0.077184694107,0.0288878438569,0.0317448591272,0.00412740589751,0.03582669737,0.00546931270986,0.0151285092572,0.0305019732612,0.0346398850128,0.0129004724729,0.0619697622477,0.0169834070699,0.0221190689951,0.0214626352927,0.0297192372389,0.0353995755694,0.0273895514791,0.0157669989465,0.0148391797887,0.014482268134,0.0567290359917,0.0565706158615,0.00354494403891,0.01595330547,0.00409425088752,0.0183258859684,0.0115739975175,0.00817232872341,0.00587957802688,0.00972328106835
